TransactionDate|CardNo|Amount|UniqueTransactionId
2023-03-17 00:01:00|87483311212|-800.34|83728321
2023-03-15 00:02:00|874833112122|0.04|83728322
2023-03-14 00:03:00|874833112123|50.12|83728323
2023-03-13 00:04:00|874833112124|600.00|83728324
2023-03-12 00:05:00|874833112121|-800.34|83728325
2023-03-11 00:06:00|874833112122|72.34|83728326
2023-03-11 00:07:00|874833112123|100.01|83728321
2023-03-11 00:08:00|874833112124|9.34|83728327
2023-03-11 00:09:00|874833112122|-1.02|83728328
2023-03-15 00:10:00|874833112126|66.00|83728329
2023-03-08 00:12:00|874833112121|01.01|83728330
2023-03-15 00:14:00|874833112122|4|83728331
2023-03-31 07:00:00|874833112122|2|83728332
2023-03-30 08:00:00|874833112121|3.01|83728333
2022-02-11 12:00:00|874833112122|0.001|83728334
2023-04-01 22:00:00|874833112121|-99999999.99|83728335
2023-03-14 23:59:59|874833112123|11.10|83728336
2023-03-15 00:00:00|874833112121|8|83728324
2023-03-15 00:00:00|874833112121|502.89|83728338
2023-03-15 00:00:00|874833112121|499.99|83728339
2023-03-15 00:00:00|874833112126|0|83728340
2023-03-17 00:00:00|874833112123|-909.11|83728341
